Aedes aegypti
Anolis carolinensis
Anopheles gambiae
Apis mellifera
Arabidopsis lyrata
Arabidopsis thaliana
Aspergillus clavatus
Aspergillus flavus
Aspergillus fumigatus
Aspergillus nidulans
Aspergillus niger
Aspergillus oryzae
Aspergillus terreus
Bos taurus
Botrytis cinerea
Brachypodium distachyon
Branchiostoma floridae
Caenorhabditis brenneri
Caenorhabditis briggsae
Caenorhabditis elegans
Caenorhabditis japonica
Caenorhabditis remanei
Candida albicans
Candida dubliniensis
Canis lupus familiaris
Cavia porcellus
Chlamydomonas renhardtii
Ciona intestinalis
Ciona savignyi
Coccidioides posadasii
Cryptococcus neoformans
Cryptosporidium hominis
Culex quinquefasciatus
Danio rerio
Dasypus novemcinctus
Debaryomyces hansenii
Dictyostelium discoideum
Drosophila ananassae
Drosophila grimshawi
Drosophila melanogaster
Drosophila pseudoobscura
Drosophila virilis
Drosophila willistoni
Encephalitozoon cuniculi
Entamoeba histolytica
Equus caballus
Eremothecium gossypii
Felis catus
Fusarium graminearum
Gallus gallus
Gasterosteus aculeatus
Homo sapiens
Hydra magipapillata
Ixodes scapularis
Kluyvermyces lactis
Komagataella phaffii
Laccaria bicolor
Lachancea thermotolerans
Leishmania infantum
Lodderomyces elongisporus
Macaca mulatta
Magnaporthe grisea
Meyerozyma guillermondii
Monodelphis domestica
Monosiga brevicollis
Mus musculus
Nasonia vitripennis
Nematostella vectensis
Neosartorya fischeri
Neurospora crassa
Ornithorhynchus anatinus
Oryctolagus cuniculus
Oryza sativa
Oryzias latipes
Ostreococcus lucimarinus
Ostreococcus tauri
Pediculus humanus corporis
Penicillium rubens
Phanerochaete chrysosporium
Pheodactylum tricornutum
Physcomitrella patens
Phytophthora ramorum
Phytophthora sojae
Plamodium vivax
Plasmodium falciparum
Plasmodium knowlesi
Plasmodium yoelii yoelii
Populus trichocarpa
Postia placenta
Rattus norvegicus
Saccharomyces cerevisiae
Scheffersomyces stipitis
Schistoma japonicum
Schizosaccharomyces pombe
Sclerotinia sclerotiorum
Sorghum bicolor
Strongylocentrotus purpuratus
Sus scrofa
Taeniopygia guttata
Takifugu rubripes
Tetrahymena thermophila
Tetraodon nigroviridis
Thalassiosira pseudonana
Theileria annulata
Theileria parva
Tribolium castaneum
Trichoderma reesei
Trichomonas vaginalis
Trichoplax adhaerens
Trypanosoma brucei
Ustilago maydis
Vanderwaltozyma polyspora
Vitis vinifera
Xenopus tropicalis
Yarrowia lipolytica
Zygosaccharomyces rouxii
