MoleculeType	Identifier	MoleculeName	
Proteins	P19086	UniProt:P19086 GNAZ	
Proteins	P49795	UniProt:P49795 RGS19	
Proteins	A5PLK6	UniProt:A5PLK6 RGSL1	
Proteins	P49798	UniProt:P49798 RGS4	
Proteins	Q9UGC6	UniProt:Q9UGC6 RGS17	
Proteins	O76081	UniProt:O76081 RGS20	
Proteins	Q5JWF2	UniProt:Q5JWF2 GNAS	
Proteins	P63092	UniProt:P63092 GNAS	
Proteins	P51828	UniProt:P51828 ADCY7	
Proteins	O43306	UniProt:O43306 ADCY6	
Proteins	Q08462	UniProt:Q08462 ADCY2	
Proteins	O60503	UniProt:O60503 ADCY9	
Proteins	Q8NFM4	UniProt:Q8NFM4 ADCY4	
Proteins	P40145	UniProt:P40145 ADCY8	
Proteins	O60266	UniProt:O60266 ADCY3	
Proteins	O95622	UniProt:O95622 ADCY5	
Proteins	Q08828	UniProt:Q08828 ADCY1	
Proteins	P08754	UniProt:P08754 GNAI3	
Proteins	P63096	UniProt:P63096 GNAI1	
Proteins	P04899	UniProt:P04899 GNAI2	
Proteins	A8MTJ3	UniProt:A8MTJ3 GNAT3	
Proteins	P62879	UniProt:P62879 GNB2	
Proteins	Q9HAV0	UniProt:Q9HAV0 GNB4	
Proteins	O14775	UniProt:O14775 GNB5	
Proteins	P16520	UniProt:P16520 GNB3	
Proteins	P62873	UniProt:P62873 GNB1	
Proteins	Q9UK08	UniProt:Q9UK08 GNG8	
Proteins	O14610	UniProt:O14610 GNGT2	
Proteins	P63211	UniProt:P63211 GNGT1	
Proteins	O60262	UniProt:O60262 GNG7	
Proteins	Q9P2W3	UniProt:Q9P2W3 GNG13	
Proteins	P63215	UniProt:P63215 GNG3	
Proteins	P50151	UniProt:P50151 GNG10	
Proteins	P61952	UniProt:P61952 GNG11	
Proteins	P50150	UniProt:P50150 GNG4	
Proteins	P63218	UniProt:P63218 GNG5	
Proteins	Q9UBI6	UniProt:Q9UBI6 GNG12	
Proteins	P59768	UniProt:P59768 GNG2	
Proteins	P18825	UniProt:P18825 ADRA2C	
Proteins	P18089	UniProt:P18089 ADRA2B	
Proteins	P08913	UniProt:P08913 ADRA2A	
Proteins	P24723	UniProt:P24723 PRKCH	
Proteins	Q05655	UniProt:Q05655 PRKCD	
Proteins	Q04759	UniProt:Q04759 PRKCQ	
Proteins	Q02156	UniProt:Q02156 PRKCE	
Proteins	P05129	UniProt:P05129 PRKCG	
Proteins	P17252	UniProt:P17252 PRKCA	
Proteins	P05771	UniProt:P05771 PRKCB	
Proteins	O15492	UniProt:O15492 RGS16	
Proteins	P12931	UniProt:P12931 SRC	
Proteins	Q6U736	UniProt:Q6U736 OPN5	
Proteins	Q9H1Y3	UniProt:Q9H1Y3 OPN3	
Proteins	P47804	UniProt:P47804 RGR	
Proteins	O14718	UniProt:O14718 RRH	
Proteins	P03999	UniProt:P03999 OPN1SW	
Proteins	P08100	UniProt:P08100 RHO	
Proteins	P04001	UniProt:P04001 OPN1MW	
Proteins	P04000	UniProt:P04000 OPN1LW	
Proteins	P11488	UniProt:P11488 GNAT1	
Proteins	P19087	UniProt:P19087 GNAT2	
Proteins	Q8NHW4	UniProt:Q8NHW4 CCL4L1	
Proteins	P13236	UniProt:P13236 CCL4	
Proteins	P32246	UniProt:P32246 CCR1	
Proteins	P51681	UniProt:P51681 CCR5	
Proteins	P25090	UniProt:P25090 FPR2	
Proteins	P05067	UniProt:P05067 APP	
Proteins	P55773-2	UniProt:P55773-2 CCL23	
Proteins	P0DJI8	UniProt:P0DJI8 SAA1	
Proteins	P04083	UniProt:P04083 ANXA1	
