MoleculeType	Identifier	MoleculeName	
Proteins	P22760	UniProt:P22760 AADAC	
Proteins	Q96SQ9	UniProt:Q96SQ9 CYP2S1	
Proteins	P10635	UniProt:P10635 CYP2D6	
Proteins	Q8TAV3	UniProt:Q8TAV3 CYP2W1	
Proteins	Q9HB55	UniProt:Q9HB55 CYP3A43	
Proteins	Q5TCH4	UniProt:Q5TCH4 CYP4A22	
Proteins	Q6NT55	UniProt:Q6NT55 CYP4F22	
Proteins	P13584	UniProt:P13584 CYP4B1	
Proteins	Q02928	UniProt:Q02928 CYP4A11	
Proteins	P78329	UniProt:P78329 CYP4F2	
Proteins	Q08477	UniProt:Q08477 CYP4F3	
Proteins	Q9HBI6	UniProt:Q9HBI6 CYP4F11	
Proteins	Q7Z449	UniProt:Q7Z449 CYP2U1	
Proteins	Q9UNU6	UniProt:Q9UNU6 CYP8B1	
Proteins	Q16647	UniProt:Q16647 PTGIS	
Proteins	P98187	UniProt:P98187 CYP4F8	
Proteins	P24557	UniProt:P24557 TBXAS1	
Proteins	Q9HCS2	UniProt:Q9HCS2 CYP4F12	
Proteins	P22680	UniProt:P22680 CYP7A1	
Proteins	O75881	UniProt:O75881 CYP7B1	
Proteins	P19793	UniProt:P19793 RXRA	
Proteins	Q15788	UniProt:Q15788 NCOA1	
Proteins	Q96RI1	UniProt:Q96RI1 NR1H4	
Proteins	Q15596	UniProt:Q15596 NCOA2	
Proteins	P19099	UniProt:P19099 CYP11B2	
Proteins	P11511	UniProt:P11511 CYP19A1	
Proteins	Q16678	UniProt:Q16678 CYP1B1	
Proteins	A9YTQ3	UniProt:A9YTQ3 AHRR	
Proteins	P27540	UniProt:P27540 ARNT	
Proteins	Q9HBZ2	UniProt:Q9HBZ2 ARNT2	
Proteins	P35869	UniProt:P35869 AHR	
Proteins	P08686	UniProt:P08686 CYP21A2	
Proteins	P10109	UniProt:P10109 FDX1	
Proteins	Q6P4F2	UniProt:Q6P4F2 FDX2	
Proteins	P05108	UniProt:P05108 CYP11A1	
Proteins	P22570	UniProt:P22570 FDXR	
Proteins	P15538	UniProt:P15538 CYP11B1	
Proteins	P01189	UniProt:P01189 POMC	
Proteins	Q9NYL5	UniProt:Q9NYL5 CYP39A1	
Proteins	Q16850	UniProt:Q16850 CYP51A1	
Proteins	Q6ZWL3	UniProt:Q6ZWL3 CYP4V2	
Proteins	Q02318	UniProt:Q02318 CYP27A1	
Proteins	Q9Y6A2	UniProt:Q9Y6A2 CYP46A1	
Proteins	P20853	UniProt:P20853 CYP2A7	
Proteins	P20813	UniProt:P20813 CYP2B6	
Proteins	Q16696	UniProt:Q16696 CYP2A13	
Proteins	P24903	UniProt:P24903 CYP2F1	
Proteins	P51589	UniProt:P51589 CYP2J2	
Proteins	P05181	UniProt:P05181 CYP2E1	
Proteins	P11509	UniProt:P11509 CYP2A6	
Proteins	P33260	UniProt:P33260 CYP2C18	
Proteins	P11712	UniProt:P11712 CYP2C9	
Proteins	P33261	UniProt:P33261 CYP2C19	
Proteins	P10632	UniProt:P10632 CYP2C8	
Proteins	P08684	UniProt:P08684 CYP3A4	
Proteins	P20815	UniProt:P20815 CYP3A5	
