MoleculeType	Identifier	MoleculeName	
Proteins	P18440	UniProt:P18440 NAT1	
Proteins	P11245	UniProt:P11245 NAT2	
Proteins	P05177	UniProt:P05177 CYP1A2	
Proteins	P23526	UniProt:P23526 AHCY	
Proteins	Q9HBK9	UniProt:Q9HBK9 AS3MT	
Proteins	Q99707	UniProt:Q99707 MTR	
Proteins	Q9UBK8	UniProt:Q9UBK8 MTRR	
Proteins	P21964	UniProt:P21964 COMT	
Proteins	P78417	UniProt:P78417 GSTO1	
Proteins	P40261	UniProt:P40261 NNMT	
Proteins	Q9Y5N5	UniProt:Q9Y5N5 N6AMT1	
Proteins	Q9UI30	UniProt:Q9UI30 TRMT112	
Proteins	P51580	UniProt:P51580 TPMT	
Proteins	Q00266	UniProt:Q00266 MAT1A	
Proteins	P31153	UniProt:P31153 MAT2A	
Proteins	Q9NZL9	UniProt:Q9NZL9 MAT2B	
Proteins	Q68CK6	UniProt:Q68CK6 ACSM2B	
Proteins	Q08AH1	UniProt:Q08AH1 ACSM1	
Proteins	Q8WU03	UniProt:Q8WU03 GLYATL2	
Proteins	Q5SZD4	UniProt:Q5SZD4 GLYATL3	
Proteins	Q969I3	UniProt:Q969I3 GLYATL1	
Proteins	Q6IB77	UniProt:Q6IB77 GLYAT	
Proteins	P0C7M7	UniProt:P0C7M7 ACSM4	
Proteins	Q08AH3	UniProt:Q08AH3 ACSM2A	
Proteins	Q6NUN0	UniProt:Q6NUN0 ACSM5	
Proteins	P50225	UniProt:P50225 SULT1A1	
Proteins	O00204-1	UniProt:O00204-1 SULT2B1	
Proteins	P50226	UniProt:P50226 SULT1A2	
Proteins	O75897	UniProt:O75897 SULT1C4	
Proteins	Q9BR01	UniProt:Q9BR01 SULT4A1	
Proteins	O00204-2	UniProt:O00204-2 SULT2B1	
Proteins	P49888	UniProt:P49888 SULT1E1	
Proteins	Q96IU4	UniProt:Q96IU4 ABHD14B	
Proteins	O00338	UniProt:O00338 SULT1C2	
Proteins	P0DMM9	UniProt:P0DMM9 SULT1A3	
Proteins	Q06520	UniProt:Q06520 SULT2A1	
Proteins	O43704	UniProt:O43704 SULT1B1	
Proteins	Q6IMI4	UniProt:Q6IMI4 SULT6B1	
Proteins	Q9NX62	UniProt:Q9NX62 BPNT2	
Proteins	Q8TB61	UniProt:Q8TB61 SLC35B2	
Proteins	Q9H1N7	UniProt:Q9H1N7 SLC35B3	
Proteins	P50443	UniProt:P50443 SLC26A2	
Proteins	Q9H2B4	UniProt:Q9H2B4 SLC26A1	
Proteins	O43252	UniProt:O43252 PAPSS1	
Proteins	O95340	UniProt:O95340 PAPSS2	
Proteins	P0DMN0	UniProt:P0DMN0 SULT1A4	
Proteins	O95861	UniProt:O95861 BPNT1	
Proteins	O60704	UniProt:O60704 TPST2	
Proteins	O60507	UniProt:O60507 TPST1	
Proteins	Q9NZ53	UniProt:Q9NZ53 PODXL2	
Proteins	O75223	UniProt:O75223 GGCT	
Proteins	Q96KP4	UniProt:Q96KP4 CNDP2	
Proteins	Q6P531	UniProt:Q6P531 GGT6	
Proteins	P36269	UniProt:P36269 GGT5	
Proteins	A6NGU5	UniProt:A6NGU5 GGT3P	
Proteins	Q9UJ14	UniProt:Q9UJ14 GGT7	
Proteins	P19440	UniProt:P19440 GGT1	
Proteins	P48637	UniProt:P48637 GSS	
Proteins	O14841	UniProt:O14841 OPLAH	
Proteins	P48506	UniProt:P48506 GCLC	
Proteins	P48507	UniProt:P48507 GCLM	
Proteins	Q8WUX2	UniProt:Q8WUX2 CHAC2	
Proteins	Q9BUX1	UniProt:Q9BUX1 CHAC1	
Proteins	P0CG29	UniProt:P0CG29 GSTT2	
Proteins	Q7RTV2	UniProt:Q7RTV2 GSTA5	
Proteins	O15217	UniProt:O15217 GSTA4	
Proteins	O60760	UniProt:O60760 HPGDS	
Proteins	P09211	UniProt:P09211 GSTP1	
Proteins	P0CG30	UniProt:P0CG30 GSTT2B	
Proteins	Q9H4Y5	UniProt:Q9H4Y5 GSTO2	
Proteins	P21266	UniProt:P21266 GSTM3	
Proteins	P30711	UniProt:P30711 GSTT1	
Proteins	P09488	UniProt:P09488 GSTM1	
Proteins	Q16772	UniProt:Q16772 GSTA3	
Proteins	Q03013	UniProt:Q03013 GSTM4	
Proteins	O43708	UniProt:O43708 GSTZ1	
Proteins	P09210	UniProt:P09210 GSTA2	
Proteins	P08263	UniProt:P08263 GSTA1	
Proteins	P28161	UniProt:P28161 GSTM2	
Proteins	P46439	UniProt:P46439 GSTM5	
Proteins	Q9Y2Q3	UniProt:Q9Y2Q3 GSTK1	
Proteins	P10620	UniProt:P10620 MGST1	
Proteins	O14880	UniProt:O14880 MGST3	
Proteins	Q99735	UniProt:Q99735 MGST2	
Proteins	P10768	UniProt:P10768 ESD	
Proteins	P14550	UniProt:P14550 AKR1A1	
Proteins	P0DTE4	UniProt:P0DTE4 UGT2A1	
Proteins	P0DTE5	UniProt:P0DTE5 UGT2A2	
Proteins	Q9BY64	UniProt:Q9BY64 UGT2B28	
Proteins	P35504	UniProt:P35504 UGT1A5	
Proteins	P36537	UniProt:P36537 UGT2B10	
Proteins	O75310	UniProt:O75310 UGT2B11	
Proteins	O60656	UniProt:O60656 UGT1A9	
Proteins	Q9HAW7	UniProt:Q9HAW7 UGT1A7	
Proteins	O75795	UniProt:O75795 UGT2B17	
Proteins	P16662	UniProt:P16662 UGT2B7	
Proteins	Q9HAW9	UniProt:Q9HAW9 UGT1A8	
Proteins	Q6NUS8	UniProt:Q6NUS8 UGT3A1	
Proteins	P35503	UniProt:P35503 UGT1A3	
Proteins	P54855	UniProt:P54855 UGT2B15	
Proteins	P06133	UniProt:P06133 UGT2B4	
Proteins	P22310	UniProt:P22310 UGT1A4	
Proteins	Q6UWM9	UniProt:Q6UWM9 UGT2A3	
Proteins	Q3SY77	UniProt:Q3SY77 UGT3A2	
Proteins	P22309	UniProt:P22309 UGT1A1	
Proteins	P19224	UniProt:P19224 UGT1A6	
Proteins	Q9NUJ1	UniProt:Q9NUJ1 ABHD10	
Proteins	Q9NTN3	UniProt:Q9NTN3 SLC35D1	
Proteins	Q16851	UniProt:Q16851 UGP2	
Proteins	O60701	UniProt:O60701 UGDH	
Proteins	Q9HAW8	UniProt:Q9HAW8 UGT1A10	
