MoleculeType	Identifier	MoleculeName	
Proteins	Q70CQ2	UniProt:Q70CQ2 USP34	
Proteins	O15169	UniProt:O15169 AXIN1	
Proteins	Q9Y2T1	UniProt:Q9Y2T1 AXIN2	
Proteins	Q9NTX7	UniProt:Q9NTX7 RNF146	
Proteins	O95271	UniProt:O95271 TNKS	
Proteins	Q9H2K2	UniProt:Q9H2K2 TNKS2	
Proteins	P0CG48	UniProt:P0CG48 UBC	
Proteins	P0CG47	UniProt:P0CG47 UBB	
Proteins	P62987	UniProt:P62987 UBA52	
Proteins	P62979	UniProt:P62979 RPS27A	
Proteins	P68400	UniProt:P68400 CSNK2A1	
Proteins	P19784	UniProt:P19784 CSNK2A2	
Proteins	P67870	UniProt:P67870 CSNK2B	
Proteins	O14640	UniProt:O14640 DVL1	
Proteins	O14641	UniProt:O14641 DVL2	
Proteins	Q92997	UniProt:Q92997 DVL3	
Proteins	P49674	UniProt:P49674 CSNK1E	
Proteins	O14986	UniProt:O14986 PIP5K1B	
Proteins	Q13547	UniProt:Q13547 HDAC1	
Proteins	Q04725	UniProt:Q04725 TLE2	
Proteins	Q04726	UniProt:Q04726 TLE3	
Proteins	Q04727	UniProt:Q04727 TLE4	
Proteins	Q04724	UniProt:Q04724 TLE1	
Proteins	P36402	UniProt:P36402 TCF7	
Proteins	Q9HCS4	UniProt:Q9HCS4 TCF7L1	
Proteins	Q9NQB0	UniProt:Q9NQB0 TCF7L2	
Proteins	Q9UJU2	UniProt:Q9UJU2 LEF1	
Proteins	P35222	UniProt:P35222 CTNNB1	
Proteins	O00512	UniProt:O00512 BCL9	
Proteins	Q86UU0	UniProt:Q86UU0 BCL9L	
Proteins	Q9BRQ0	UniProt:Q9BRQ0 PYGO2	
Proteins	Q9Y3Y4	UniProt:Q9Y3Y4 PYGO1	
Proteins	P51532	UniProt:P51532 SMARCA4	
Proteins	O14746	UniProt:O14746 TERT	
Proteins	Q9Y265	UniProt:Q9Y265 RUVBL1	
Proteins	Q9Y4A5	UniProt:Q9Y4A5 TRRAP	
Proteins	Q92993	UniProt:Q92993 KAT5	
Proteins	Q13761	UniProt:Q13761 RUNX3	
Proteins	P01106	UniProt:P01106 MYC	
Proteins	Q09472	UniProt:Q09472 EP300	
Proteins	Q92793	UniProt:Q92793 CREBBP	
Proteins	O14686	UniProt:O14686 KMT2D	
Proteins	Q9UBL3	UniProt:Q9UBL3 ASH2L	
Proteins	O00255	UniProt:O00255 MEN1	
Proteins	Q15291	UniProt:Q15291 RBBP5	
Proteins	P0C5Y9	UniProt:P0C5Y9 H2AB1	
Proteins	Q71UI9	UniProt:Q71UI9 H2AZ2	
Proteins	P0C0S5	UniProt:P0C0S5 H2AZ1	
Proteins	P20671	UniProt:P20671 H2AC7	
Proteins	P16104	UniProt:P16104 H2AX	
Proteins	Q9BTM1	UniProt:Q9BTM1 H2AJ	
Proteins	Q16777	UniProt:Q16777 H2AC20	
Proteins	Q93077	UniProt:Q93077 H2AC6	
Proteins	P04908	UniProt:P04908 H2AC4	
Proteins	Q6FI13	UniProt:Q6FI13 H2AC18	
Proteins	Q99878	UniProt:Q99878 H2AC14	
Proteins	P84243	UniProt:P84243 H3-3A	
Proteins	P68431	UniProt:P68431 H3C1	
Proteins	Q16695	UniProt:Q16695 H3-4	
Proteins	Q71DI3	UniProt:Q71DI3 H3C15	
Proteins	O60814	UniProt:O60814 H2BC12	
Proteins	Q16778	UniProt:Q16778 H2BC21	
Proteins	P06899	UniProt:P06899 H2BC11	
Proteins	P33778	UniProt:P33778 H2BC3	
Proteins	Q93079	UniProt:Q93079 H2BC9	
Proteins	Q96A08	UniProt:Q96A08 H2BC1	
Proteins	Q99879	UniProt:Q99879 H2BC14	
Proteins	P58876	UniProt:P58876 H2BC5	
Proteins	Q8N257	UniProt:Q8N257 H2BU1	
Proteins	P62807	UniProt:P62807 H2BC4	
Proteins	P57053	UniProt:P57053 H2BS1	
Proteins	P23527	UniProt:P23527 H2BC17	
Proteins	Q99880	UniProt:Q99880 H2BC13	
Proteins	Q99877	UniProt:Q99877 H2BC15	
Proteins	P62805	UniProt:P62805 H4C1	
Proteins	Q6P1J9	UniProt:Q6P1J9 CDC73	
Proteins	Q8WVC0	UniProt:Q8WVC0 LEO1	
Proteins	Q9UBT3	UniProt:Q9UBT3 DKK4	
Proteins	Q9UBU2	UniProt:Q9UBU2 DKK2	
Proteins	O94907	UniProt:O94907 DKK1	
Proteins	O75197	UniProt:O75197 LRP5	
Proteins	O75581	UniProt:O75581 LRP6	
Proteins	Q96MU8	UniProt:Q96MU8 KREMEN1	
Proteins	Q8NCW0	UniProt:Q8NCW0 KREMEN2	
Proteins	P56704	UniProt:P56704 WNT3A	
Proteins	Q96HF1	UniProt:Q96HF1 SFRP2	
Proteins	Q8N474	UniProt:Q8N474 SFRP1	
Proteins	Q9Y5W5	UniProt:Q9Y5W5 WIF1	
Proteins	P41221	UniProt:P41221 WNT5A	
Proteins	P56705	UniProt:P56705 WNT4	
