orthologs: 8
totalgenes: 7
organism: celegans
Enriched Phenotype	Phenotype Name	P-value	n	m	i	rank	q-value	Overlap Genes
WBPhenotype:0002261	neurite connectivity defective	2.0236069535070187e-07	2	9940	2	1	0.0017543859649122807	WBGene00000096,WBGene00000095
WBPhenotype:0001331	motor neuron morphology variant	6.0287725622379695e-05	25	9917	2	2	0.0035087719298245615	WBGene00000096,WBGene00000095
WBPhenotype:0001434	chemotaxis variant	0.00012618335788796425	36	9906	2	3	0.005263157894736842	WBGene00000915,WBGene00022599
WBPhenotype:0001789	temperature influenced life span variant	0.0015075367734019164	3	9939	1	4	0.007017543859649123	WBGene00022599
WBPhenotype:0000012	dauer constitutive	0.0016320782802992924	130	9812	2	5	0.008771929824561403	WBGene00000915,WBGene00022599
WBPhenotype:0000644	paralyzed	0.002513577755949787	162	9780	2	6	0.010526315789473684	WBGene00000915,WBGene00022599
WBPhenotype:0000625	synaptogenesis variant	0.0035119256887955453	7	9935	1	7	0.012280701754385965	WBGene00000096
WBPhenotype:0001048	odorant chemosensory response variant	0.0045116976777954485	9	9933	1	8	0.014035087719298246	WBGene00000915
WBPhenotype:0000646	sluggish	0.0046013137198040715	221	9721	2	9	0.015789473684210527	WBGene00000915,WBGene00000095
WBPhenotype:0001349	protein phosphorylation variant	0.005010978695203151	10	9932	1	10	0.017543859649122806	WBGene00000915
WBPhenotype:0000055	early larval arrest	0.005527595750521904	243	9699	2	11	0.01929824561403509	WBGene00000915,WBGene00000095
WBPhenotype:0000127	dauer recovery variant	0.006506404034037169	13	9929	1	12	0.021052631578947368	WBGene00000915
WBPhenotype:0001989	hypoxia hypersensitive	0.00700407385161434	14	9928	1	13	0.02280701754385965	WBGene00000095
WBPhenotype:0000295	thermotolerance increased	0.011465018659559581	23	9919	1	14	0.02456140350877193	WBGene00022599
WBPhenotype:0001510	neuronal cell fate specification variant	0.014912196281869135	30	9912	1	15	0.02631578947368421	WBGene00000096
WBPhenotype:0001012	organism pathogen response variant	0.023202553546606258	47	9895	1	16	0.028070175438596492	WBGene00000915
WBPhenotype:0000668	endomitotic oocytes	0.025136546420024407	51	9891	1	17	0.02982456140350877	WBGene00000915
WBPhenotype:0001947	diplotene progression during oogenesis variant	0.025619055135963704	52	9890	1	18	0.031578947368421054	WBGene00000915
WBPhenotype:0001403	antibody subcellular localization variant	0.03185574917612708	65	9877	1	19	0.03333333333333333	WBGene00022599
WBPhenotype:0001943	rachis wide	0.03423676679115144	70	9872	1	20	0.03508771929824561	WBGene00000915
WBPhenotype:0001925	oocytes disorganized	0.03471179301281239	71	9871	1	21	0.03684210526315789	WBGene00000915
