orthologs: 484
totalgenes: 12
organism: celegans
Enriched Phenotype	Phenotype Name	P-value	n	m	i	rank	q-value	Overlap Genes
WBPhenotype:0001278	transgene expression reduced	3.2278134249556377e-08	793	9149	31	1	0.00045662100456621003	WBGene00003684,WBGene00003634,WBGene00003700,WBGene00008309,WBGene00003644,WBGene00011750,WBGene00015902,WBGene00011396,WBGene00003640,WBGene00003658,WBGene00003704,WBGene00003672,WBGene00008289,WBGene00008056,WBGene00003682,WBGene00003712,WBGene00006471,WBGene00008884,WBGene00010601,WBGene00010600,WBGene00018541,WBGene00015497,WBGene00003620,WBGene00000095,WBGene00018958,WBGene00003706,WBGene00015395,WBGene00017198,WBGene00016975,WBGene00022423,WBGene00007547
WBPhenotype:0000050	embryonic lethal	3.916465454631464e-07	3176	6766	18	2	0.0009132420091324201	WBGene00013067,WBGene00014193,WBGene00003676,WBGene00003648,WBGene00003651,WBGene00000915,WBGene00020268,WBGene00007848,WBGene00000110,WBGene00016966,WBGene00022599,WBGene00009186,WBGene00001262,WBGene00013381,WBGene00021200,WBGene00010354,WBGene00018958,WBGene00003650
WBPhenotype:0000688	sterile	7.041404572896326e-07	2837	7105	15	3	0.0013698630136986301	WBGene00003634,WBGene00016091,WBGene00011150,WBGene00007367,WBGene00003653,WBGene00016366,WBGene00016365,WBGene00010180,WBGene00018545,WBGene00003724,WBGene00000915,WBGene00000107,WBGene00001262,WBGene00000038,WBGene00013532
WBPhenotype:0000062	lethal	3.339326721083358e-05	2189	7753	12	4	0.0018264840182648401	WBGene00016091,WBGene00007367,WBGene00003653,WBGene00016366,WBGene00016365,WBGene00010180,WBGene00018545,WBGene00003724,WBGene00000915,WBGene00000107,WBGene00000095,WBGene00013532
WBPhenotype:0000059	larval arrest	3.389838307892249e-05	1667	8275	7	5	0.00228310502283105	WBGene00003651,WBGene00000915,WBGene00020268,WBGene00007848,WBGene00016966,WBGene00001262,WBGene00018958
WBPhenotype:0000154	reduced brood size	3.8320765295230784e-05	1182	8760	3	6	0.0027397260273972603	WBGene00003676,WBGene00003651,WBGene00003650
WBPhenotype:0000661	solitary feeding increased	4.602371776504508e-05	6	9936	3	7	0.0031963470319634705	WBGene00015900,WBGene00015497,WBGene00003650
WBPhenotype:0000643	locomotion variant	9.08027907161846e-05	1468	8474	6	8	0.0036529680365296802	WBGene00006790,WBGene00022639,WBGene00007848,WBGene00001262,WBGene00000095,WBGene00007866
WBPhenotype:0000697	protruding vulva	0.000154263252132538	795	9147	1	9	0.00410958904109589	WBGene00000915
WBPhenotype:0001184	fat content increased	0.00016662747344164117	263	9679	12	10	0.0045662100456621	WBGene00003658,WBGene00012596,WBGene00003669,WBGene00020460,WBGene00003699,WBGene00003676,WBGene00003624,WBGene00003660,WBGene00003611,WBGene00000107,WBGene00016966,WBGene00022423
WBPhenotype:0002261	neurite connectivity defective	0.0001803236156286994	2	9940	2	11	0.00502283105022831	WBGene00000096,WBGene00000095
WBPhenotype:0001987	acetylcholinesterase activity variant	0.0010533953928368522	4	9938	2	12	0.005479452054794521	WBGene00000037,WBGene00000038
WBPhenotype:0000177	acetylcholinesterase reduced	0.0010533953928368522	4	9938	2	13	0.005936073059360731	WBGene00000037,WBGene00000038
WBPhenotype:0000039	life span variant	0.0010705598886558783	198	9744	9	14	0.006392694063926941	WBGene00000915,WBGene00010745,WBGene00007872,WBGene00010125,WBGene00007873,WBGene00007875,WBGene00001578,WBGene00010790,WBGene00010791
WBPhenotype:0000031	slow growth	0.0013731239214434363	1886	8056	13	15	0.00684931506849315	WBGene00010410,WBGene00008778,WBGene00010603,WBGene00003651,WBGene00000915,WBGene00020268,WBGene00020267,WBGene00007848,WBGene00000110,WBGene00001262,WBGene00000095,WBGene00020909,WBGene00007807
WBPhenotype:0000961	pattern of transgene expression variant	0.00168856243961134	975	8967	4	16	0.0073059360730593605	WBGene00003651,WBGene00020268,WBGene00020267,WBGene00007848
WBPhenotype:0001836	eggshell morphology variant	0.0017323397099284806	5	9937	2	17	0.007762557077625571	WBGene00001262,WBGene00010354
WBPhenotype:0001037	sterile progeny	0.0018418104973555748	735	9207	2	18	0.00821917808219178	WBGene00001478,WBGene00003704
WBPhenotype:0001425	receptor mediated endocytosis defective	0.002094497117393853	724	9218	2	19	0.008675799086757991	WBGene00020268,WBGene00007848
WBPhenotype:0001331	motor neuron morphology variant	0.0041121016445000965	25	9917	3	20	0.0091324200913242	WBGene00000096,WBGene00000095,WBGene00008985
WBPhenotype:0000032	sick	0.004220735380005589	663	9279	2	21	0.009589041095890411	WBGene00003641,WBGene00003642
WBPhenotype:0000054	larval lethal	0.009447861079473542	901	9041	5	22	0.01004566210045662	WBGene00014193,WBGene00000915,WBGene00007848,WBGene00000110,WBGene00000095
WBPhenotype:0000689	maternal sterile	0.01047969392770795	985	8957	6	23	0.010502283105022832	WBGene00001478,WBGene00003702,WBGene00000915,WBGene00000110,WBGene00022599,WBGene00018958
