orthologs: 1715
totalgenes: 111
organism: celegans
Enriched Phenotype	Phenotype Name	P-value	n	m	i	rank	q-value	Overlap Genes
WBPhenotype:0001634	organism electrophilic stress hypersensitive	1.1089213017052982e-29	16	9926	14	1	0.0006250000000000001	WBGene00001751,WBGene00001789,WBGene00001758,WBGene00018911,WBGene00001762,WBGene00001766,WBGene00001772,WBGene00001754,WBGene00001761,WBGene00001756,WBGene00001755,WBGene00001786,WBGene00001753,WBGene00001749
WBPhenotype:0000124	enzyme activity reduced	4.1608592361981953e-07	44	9898	6	2	0.0012500000000000002	WBGene00001758,WBGene00018911,WBGene00001772,WBGene00001754,WBGene00001756,WBGene00001753
WBPhenotype:0001655	cadmium hypersensitive	2.591836193591342e-05	89	9853	6	3	0.001875	WBGene00001767,WBGene00001786,WBGene00001757,WBGene00021492,WBGene00007072,WBGene00010904
WBPhenotype:0000138	lipid composition variant	0.0007260065726089229	62	9880	4	4	0.0025000000000000005	WBGene00018488,WBGene00008205,WBGene00014251,WBGene00017054
WBPhenotype:0001698	heparan sulfate biosynthesis variant	0.0009092533777988502	7	9935	2	5	0.003125	WBGene00018827,WBGene00004206
WBPhenotype:0000577	organism homeostasis metabolism variant	0.0012044060847740436	8	9934	2	6	0.00375	WBGene00001758,WBGene00018911
WBPhenotype:0006001	squashed vulva	0.0015383898423827242	9	9933	2	7	0.0043749999999999995	WBGene00005022,WBGene00004206
WBPhenotype:0000258	cell secretion variant	0.0017537785699250654	79	9863	4	8	0.005000000000000001	WBGene00019322,WBGene00010988,WBGene00015540,WBGene00006416
WBPhenotype:0000050	embryonic lethal	0.0019391383871154846	3176	6766	11	9	0.005625000000000001	WBGene00018488,WBGene00021127,WBGene00010941,WBGene00019322,WBGene00005022,WBGene00015307,WBGene00018365,WBGene00001773,WBGene00006416,WBGene00004206,WBGene00010665
WBPhenotype:0000676	growth rate variant	0.0034770070510995155	96	9846	4	10	0.00625	WBGene00018488,WBGene00010988,WBGene00008205,WBGene00015538
WBPhenotype:0001274	organism heat hypersensitive	0.0037631015751166657	14	9928	2	11	0.006875000000000001	WBGene00001758,WBGene00018911
WBPhenotype:0002462	pathogen adherence increased	0.005514223770780981	17	9925	2	12	0.0075	WBGene00007854,WBGene00010665
WBPhenotype:0001184	fat content increased	0.006506323845331402	263	9679	6	13	0.008125	WBGene00018488,WBGene00009221,WBGene00001758,WBGene00018911,WBGene00007885,WBGene00008205
WBPhenotype:0002041	molt variant	0.006739086702960946	1	9941	1	14	0.008749999999999999	WBGene00004206
