orthologs: 12
totalgenes: 7
organism: dmelanogaster
Enriched Phenotype	P-value	n	m	i	rank	q-value	Overlap Genes
female semi-sterile	2.2956587593238784e-08	110	25280	4	1	0.00021978021978021978	FBgn0003513,FBgn0001233,FBgn0002723,FBgn0261703
chemical resistant | larval stage	8.68104022843018e-07	5	25385	2	2	0.00043956043956043956	FBgn0002723,FBgn0261703
abnormal behavior	6.9992187604005815e-06	129	25261	3	3	0.0006593406593406593	FBgn0003513,FBgn0001233,FBgn0023076
abnormal locomotor rhythm	0.00015166752864642942	60	25330	2	4	0.0008791208791208791	FBgn0001233,FBgn0023076
decreased fecundity | female	0.00020644646301294487	70	25320	2	5	0.0010989010989010991	FBgn0002723,FBgn0261703
female semi-fertile	0.00024328624596491153	76	25314	2	6	0.0013186813186813187	FBgn0001233,FBgn0002723
visible, with Scer\GAL4[rn-GAL4]	0.0003150846790100361	1	25389	1	7	0.0015384615384615387	FBgn0003513
increased cell death | cell non-autonomous | somatic clone, with Scer\GAL4[Act5C.PI]	0.0003150846790100361	1	25389	1	8	0.0017582417582417582	FBgn0003513
increased cell death | cell autonomous | somatic clone, with Scer\GAL4[Act5C.PI]	0.0003150846790100361	1	25389	1	9	0.001978021978021978	FBgn0003513
femur | distal	0.0003150846790100361	1	25389	1	10	0.0021978021978021982	FBgn0003513
tarsal segment (with Df(3R)ss-D114.4)	0.0003150846790100361	1	25389	1	11	0.002417582417582418	FBgn0003513
tarsal segment 2 (with ss[D114.9])	0.0003150846790100361	1	25389	1	12	0.0026373626373626374	FBgn0003513
male genitalia, with Scer\GAL4[-]:	0.0003150846790100361	1	25389	1	13	0.002857142857142857	FBgn0002723
tarsal segment, with Scer\GAL4[rn-GAL4]	0.0003150846790100361	1	25389	1	14	0.0030769230769230774	FBgn0003513
tarsal segment 4 (with ss[D114.9])	0.0003150846790100361	1	25389	1	15	0.003296703296703297	FBgn0003513
unguis | ectopic (with Df(3R)ss-D114.4)	0.0003150846790100361	1	25389	1	16	0.0035164835164835165	FBgn0003513
ventral thoracic disc (with ss[D114.9])	0.0003150846790100361	1	25389	1	17	0.0037362637362637363	FBgn0003513
visible (with ss[D114.9])	0.0003150846790100361	1	25389	1	18	0.003956043956043956	FBgn0003513
yellow ommatidium | somatic clone	0.0003150846790100361	1	25389	1	19	0.004175824175824175	FBgn0003513
dendrite & dorsal multidendritic neuron ddaC, with Scer\GAL4[ppk.PG]	0.0003150846790100361	1	25389	1	20	0.0043956043956043965	FBgn0003513
dendrite & tracheal innervating neuron, with Scer\GAL4[477]	0.0003150846790100361	1	25389	1	21	0.004615384615384616	FBgn0003513
tarsal segment 3 (with ss[D114.9])	0.0003150846790100361	1	25389	1	22	0.004835164835164836	FBgn0003513
leg, with Scer\GAL4[rn-GAL4]	0.0003150846790100361	1	25389	1	23	0.005054945054945055	FBgn0003513
tergite, with Scer\GAL4[ptc-559.1]	0.0003150846790100361	1	25389	1	24	0.005274725274725275	FBgn0003513
tibia, with Scer\GAL4[ptc-559.1]	0.0003150846790100361	1	25389	1	25	0.005494505494505495	FBgn0003513
visible (with Df(3R)ss-D114.4)	0.0003150846790100361	1	25389	1	26	0.005714285714285714	FBgn0003513
photoreceptor cell R7 of yellow ommatidium | somatic clone	0.0003150846790100361	1	25389	1	27	0.0059340659340659345	FBgn0003513
pretarsus (with ss[D114.9])	0.0003150846790100361	1	25389	1	28	0.006153846153846155	FBgn0003513
pretarsus | ectopic (with Df(3R)ss-D114.4)	0.0003150846790100361	1	25389	1	29	0.006373626373626373	FBgn0003513
leg | distal, with Scer\GAL4[ptc-559.1]	0.0003150846790100361	1	25389	1	30	0.006593406593406594	FBgn0003513
