,1,2,Organism,associated_phenotype
0,FBgn0015240,ENSG00000012504,dmelanogaster,"['GO0005811:lipid droplet', 'abnormal starvation stress response', 'adult fat body', 'adult midgut epithelium', 'chemical sensitive', 'decreased cell size', 'fertile', 'viable', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]', 'lethal, with Scer\\GAL4[Tub.PU]', 'chemical resistant, with Scer\\GAL4[arm.PS]', 'lethal, with Scer\\GAL4[arm.PS]']"
1,FBgn0003312,ENSG00000019186,dmelanogaster,"['embryo | embryonic stage 14', 'embryonic/larval tracheal system', 'GO0030424:axon (with Df(3R)Exel7310)', 'abnormal neuroanatomy (with Df(3R)Exel7310)', 'embryo | posterior', 'presumptive embryonic/larval central nervous system', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'embryonic ventral epidermis', 'embryonic/larval foregut', 'embryonic/larval hindgut', 'embryonic/larval midgut', 'embryonic/larval neuron | ectopic', 'glial cell', 'larval longitudinal connective', 'midline glial cell | ectopic', 'sensory neuron | embryonic stage', 'symmetrical commissure', 'embryo | embryonic stage 14', 'embryonic/larval tracheal system', 'GO0030424:axon (with Df(3R)Exel7310)', 'abnormal neuroanatomy (with Df(3R)Exel7310)', 'embryo | posterior', 'presumptive embryonic/larval central nervous system', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'embryonic ventral epidermis', 'embryonic/larval foregut', 'embryonic/larval hindgut', 'embryonic/larval midgut', 'embryonic/larval neuron | ectopic', 'glial cell', 'larval longitudinal connective', 'midline glial cell | ectopic', 'sensory neuron | embryonic stage', 'symmetrical commissure', 'embryo | embryonic stage 14', 'embryonic/larval tracheal system', 'GO0030424:axon (with Df(3R)Exel7310)', 'abnormal neuroanatomy (with Df(3R)Exel7310)', 'embryo | posterior', 'presumptive embryonic/larval central nervous system', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'embryonic ventral epidermis', 'embryonic/larval foregut', 'embryonic/larval hindgut', 'embryonic/larval midgut', 'embryonic/larval neuron | ectopic', 'glial cell', 'larval longitudinal connective', 'midline glial cell | ectopic', 'sensory neuron | embryonic stage', 'symmetrical commissure']"
2,FBgn0003513,ENSG00000063438,dmelanogaster,"['abnormal neuroanatomy', 'abnormal neuroanatomy (with ss[D115.7])', 'abnormal neuroanatomy | somatic clone', 'antenna (with ss[aBR30-71])', 'chaeta (with ss[aBR30-71])', 'dendrite & dorsal multidendritic neuron ddaB | somatic clone', 'dendrite & dorsal multidendritic neuron ddaD | somatic clone', 'dendrite & dorsal multidendritic neuron ddaE', 'dendrite & dorsal multidendritic neuron ddaE (with ss[D115.7])', 'dendrite & dorsal multidendritic neuron ddaE | somatic clone', 'dendrite & dorsal multidendritic neuron ddaF | somatic clone', 'dendrite & lateral multidendritic neuron ldaB | somatic clone', 'leg | ectopic (with ss[aBR30-71])', 'lethal | recessive', 'visible (with ss[aBR30-71])', 'chaeta (with ss[aP88])', 'viable', 'visible (with ss[aP88])', 'visible | homeotic', 'posterior vertical bristle', 'vertical bristle', 'arista (with Df(3R)ss-D114.4)', 'tarsal segment | ectopic (with Df(3R)ss-D114.4)', 'third segment of antenna (with Df(3R)ss-D114.4)', 'visible (with Df(3R)ss-D114.4)', 'visible | recessive', 'antennal disc (with Df(3R)ss-D114.4)', 'fifth segment of antenna (with Df(3R)ss-D114.4)', 'fourth segment of antenna (with Df(3R)ss-D114.4)', 'leg joint (with ss[a])', 'leg | ectopic', 'metatarsus (with ss[a])', 'pretarsus (with ss[D115.7])', 'second segment of antenna (with Df(3R)ss-D114.4)', 'sex comb | ectopic (with ss[a])', 'tarsal segment 2 (with ss[D115.7])', 'tarsal segment 3 (with ss[D115.7])', 'tarsal segment 4 (with ss[D115.7])', 'ventral thoracic disc (with ss[D115.7])', 'visible (with ss[D115.7])', 'abnormal neuroanatomy (with ss[134])', 'antennal sense organ', 'dendrite & dorsal multidendritic neuron ddaC | somatic clone', 'dendrite & dorsal multidendritic neuron ddaE (with ss[134])', 'dorsomedial papilla', 'maxillary palpus', 'metatarsus', 'pale ommatidium | ectopic', 'pale ommatidium | ectopic | somatic clone', 'photoreceptor cell R7 of pale ommatidium | ectopic | somatic clone', 'photoreceptor cell R7 of yellow ommatidium | somatic clone', 'pretarsus (with ss[D114.9])', 'pretarsus | ectopic (with Df(3R)ss-D114.4)', 'tarsal segment (with Df(3R)ss-D114.4)', 'tarsal segment 2', 'tarsal segment 2 (with ss[D114.9])', 'tarsal segment 3', 'tarsal segment 3 (with ss[D114.9])', 'tarsal segment 4', 'tarsal segment 4 (with ss[D114.9])', 'unguis | ectopic (with Df(3R)ss-D114.4)', 'ventral thoracic disc (with ss[D114.9])', 'visible (with ss[D114.9])', 'yellow ommatidium', 'yellow ommatidium | somatic clone', 'trichogen cell, with Scer\\GAL4[pnr-MD237]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]', 'abnormal neuroanatomy, with Scer\\GAL4[477]', 'abnormal neuroanatomy, with Scer\\GAL4[ppk.PG]', 'dendrite & dorsal multidendritic neuron ddaC, with Scer\\GAL4[ppk.PG]', 'dendrite & tracheal innervating neuron, with Scer\\GAL4[477]', 'denticle belt | medial, with Scer\\GAL4[69B]', 'eye photoreceptor cell | heat sensitive, with Scer\\GAL4[hs.PB]', 'eye photoreceptor cell, with Scer\\GAL4[GMR.long]', 'eye, with Scer\\GAL4[GMR.long]', 'femur | distal', 'increased cell death | cell autonomous | somatic clone, with Scer\\GAL4[Act5C.PI]', 'increased cell death | cell non-autonomous | somatic clone, with Scer\\GAL4[Act5C.PI]', 'leg anterior compartment', 'leg | distal, with Scer\\GAL4[ptc-559.1]', 'lethal | heat sensitive, with Scer\\GAL4[hs.PB]', 'maxillary palpus, with Scer\\GAL4[ptc-559.1]', 'ommatidium, with Scer\\GAL4[GMR.long]', 'photoreceptor cell R7 of pale ommatidium | heat sensitive, with Scer\\GAL4[hs.PB]', 'photoreceptor cell R7 of pale ommatidium, with Scer\\GAL4[GMR.PF]', 'photoreceptor cell R7 of pale ommatidium, with Scer\\GAL4[Pan-R7]', 'photoreceptor cell R7 of yellow ommatidium | ectopic | heat sensitive, with Scer\\GAL4[hs.PB]', 'photoreceptor cell R7 of yellow ommatidium | ectopic, with Scer\\GAL4[GMR.PF]', 'photoreceptor cell R7 of yellow ommatidium | ectopic, with Scer\\GAL4[Pan-R7]', 'rostral membrane, with Scer\\GAL4[ptc-559.1]', 'tracheal branch primordium, with Scer\\GAL4[69B]', 'wing margin, with Scer\\GAL4[NP7148]', 'eye, with Scer\\GAL4[GMR.PU]', 'visible | homeotic | recessive', 'antennal segment', 'mesothoracic tarsal segment', 'metathoracic tarsal segment', 'prothoracic tarsal segment', 'female semi-sterile', 'unguis | ectopic', 'leg joint', 'wing', 'antenna (with ss[134])', 'chaeta (with ss[134])', 'leg | ectopic (with ss[134])', 'visible (with ss[134])', 'arista | proximal', 'third segment of antenna | distal', 'arista | cold sensitive', 'fertile | recessive', 'chaeta (with ss[1])', 'third segment of antenna', 'visible (with ss[1])', 'decreased occurrence of cell division', 'increased occurrence of cell division', 'mesothoracic leg disc | larval stage', 'metathoracic leg disc | larval stage', 'prothoracic leg disc | larval stage', 'fertile', 'abnormal behavior', 'antenna | distal | somatic clone', 'leg joint (with ss[D114.9])', 'leg | ectopic | somatic clone', 'metatarsus (with ss[D114.9])', 'sex comb | ectopic (with ss[D114.9])', 'tarsal segment | ectopic', 'tarsal segment (with ss[sta])', 'visible (with ss[sta])', 'mesothoracic leg', 'abnormal visual perception', 'tarsal segment (with ss[abr])', 'visible (with ss[abr])', 'abnormal cell number | adult stage', 'photoreceptor cell R8 of pale ommatidium', 'photoreceptor cell R8 of yellow ommatidium', 'bract', 'labial sensillum', 'labial sensillum | somatic clone', 'abnormal neuroanatomy', 'abnormal neuroanatomy (with ss[D115.7])', 'abnormal neuroanatomy | somatic clone', 'antenna (with ss[aBR30-71])', 'chaeta (with ss[aBR30-71])', 'dendrite & dorsal multidendritic neuron ddaB | somatic clone', 'dendrite & dorsal multidendritic neuron ddaD | somatic clone', 'dendrite & dorsal multidendritic neuron ddaE', 'dendrite & dorsal multidendritic neuron ddaE (with ss[D115.7])', 'dendrite & dorsal multidendritic neuron ddaE | somatic clone', 'dendrite & dorsal multidendritic neuron ddaF | somatic clone', 'dendrite & lateral multidendritic neuron ldaB | somatic clone', 'leg | ectopic (with ss[aBR30-71])', 'lethal | recessive', 'visible (with ss[aBR30-71])', 'chaeta (with ss[aP88])', 'viable', 'visible (with ss[aP88])', 'visible | homeotic', 'posterior vertical bristle', 'vertical bristle', 'arista (with Df(3R)ss-D114.4)', 'tarsal segment | ectopic (with Df(3R)ss-D114.4)', 'third segment of antenna (with Df(3R)ss-D114.4)', 'visible (with Df(3R)ss-D114.4)', 'visible | recessive', 'antennal disc (with Df(3R)ss-D114.4)', 'fifth segment of antenna (with Df(3R)ss-D114.4)', 'fourth segment of antenna (with Df(3R)ss-D114.4)', 'leg joint (with ss[a])', 'leg | ectopic', 'metatarsus (with ss[a])', 'pretarsus (with ss[D115.7])', 'second segment of antenna (with Df(3R)ss-D114.4)', 'sex comb | ectopic (with ss[a])', 'tarsal segment 2 (with ss[D115.7])', 'tarsal segment 3 (with ss[D115.7])', 'tarsal segment 4 (with ss[D115.7])', 'ventral thoracic disc (with ss[D115.7])', 'visible (with ss[D115.7])', 'abnormal neuroanatomy (with ss[134])', 'antennal sense organ', 'dendrite & dorsal multidendritic neuron ddaC | somatic clone', 'dendrite & dorsal multidendritic neuron ddaE (with ss[134])', 'dorsomedial papilla', 'maxillary palpus', 'metatarsus', 'pale ommatidium | ectopic', 'pale ommatidium | ectopic | somatic clone', 'photoreceptor cell R7 of pale ommatidium | ectopic | somatic clone', 'photoreceptor cell R7 of yellow ommatidium | somatic clone', 'pretarsus (with ss[D114.9])', 'pretarsus | ectopic (with Df(3R)ss-D114.4)', 'tarsal segment (with Df(3R)ss-D114.4)', 'tarsal segment 2', 'tarsal segment 2 (with ss[D114.9])', 'tarsal segment 3', 'tarsal segment 3 (with ss[D114.9])', 'tarsal segment 4', 'tarsal segment 4 (with ss[D114.9])', 'unguis | ectopic (with Df(3R)ss-D114.4)', 'ventral thoracic disc (with ss[D114.9])', 'visible (with ss[D114.9])', 'yellow ommatidium', 'yellow ommatidium | somatic clone', 'trichogen cell, with Scer\\GAL4[pnr-MD237]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]', 'abnormal neuroanatomy, with Scer\\GAL4[477]', 'abnormal neuroanatomy, with Scer\\GAL4[ppk.PG]', 'dendrite & dorsal multidendritic neuron ddaC, with Scer\\GAL4[ppk.PG]', 'dendrite & tracheal innervating neuron, with Scer\\GAL4[477]', 'denticle belt | medial, with Scer\\GAL4[69B]', 'eye photoreceptor cell | heat sensitive, with Scer\\GAL4[hs.PB]', 'eye photoreceptor cell, with Scer\\GAL4[GMR.long]', 'eye, with Scer\\GAL4[GMR.long]', 'femur | distal', 'increased cell death | cell autonomous | somatic clone, with Scer\\GAL4[Act5C.PI]', 'increased cell death | cell non-autonomous | somatic clone, with Scer\\GAL4[Act5C.PI]', 'leg anterior compartment', 'leg | distal, with Scer\\GAL4[ptc-559.1]', 'lethal | heat sensitive, with Scer\\GAL4[hs.PB]', 'maxillary palpus, with Scer\\GAL4[ptc-559.1]', 'ommatidium, with Scer\\GAL4[GMR.long]', 'photoreceptor cell R7 of pale ommatidium | heat sensitive, with Scer\\GAL4[hs.PB]', 'photoreceptor cell R7 of pale ommatidium, with Scer\\GAL4[GMR.PF]', 'photoreceptor cell R7 of pale ommatidium, with Scer\\GAL4[Pan-R7]', 'photoreceptor cell R7 of yellow ommatidium | ectopic | heat sensitive, with Scer\\GAL4[hs.PB]', 'photoreceptor cell R7 of yellow ommatidium | ectopic, with Scer\\GAL4[GMR.PF]', 'photoreceptor cell R7 of yellow ommatidium | ectopic, with Scer\\GAL4[Pan-R7]', 'rostral membrane, with Scer\\GAL4[ptc-559.1]', 'tracheal branch primordium, with Scer\\GAL4[69B]', 'wing margin, with Scer\\GAL4[NP7148]', 'eye, with Scer\\GAL4[GMR.PU]', 'visible | homeotic | recessive', 'antennal segment', 'mesothoracic tarsal segment', 'metathoracic tarsal segment', 'prothoracic tarsal segment', 'female semi-sterile', 'unguis | ectopic', 'leg joint', 'wing', 'antenna (with ss[134])', 'chaeta (with ss[134])', 'leg | ectopic (with ss[134])', 'visible (with ss[134])', 'arista | proximal', 'third segment of antenna | distal', 'arista | cold sensitive', 'fertile | recessive', 'chaeta (with ss[1])', 'third segment of antenna', 'visible (with ss[1])', 'decreased occurrence of cell division', 'increased occurrence of cell division', 'mesothoracic leg disc | larval stage', 'metathoracic leg disc | larval stage', 'prothoracic leg disc | larval stage', 'fertile', 'abnormal behavior', 'antenna | distal | somatic clone', 'leg joint (with ss[D114.9])', 'leg | ectopic | somatic clone', 'metatarsus (with ss[D114.9])', 'sex comb | ectopic (with ss[D114.9])', 'tarsal segment | ectopic', 'tarsal segment (with ss[sta])', 'visible (with ss[sta])', 'mesothoracic leg', 'abnormal visual perception', 'tarsal segment (with ss[abr])', 'visible (with ss[abr])', 'abnormal cell number | adult stage', 'photoreceptor cell R8 of pale ommatidium', 'photoreceptor cell R8 of yellow ommatidium', 'bract', 'labial sensillum', 'labial sensillum | somatic clone']"
3,FBgn0036750,ENSG00000069535,dmelanogaster,"['viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]']"
4,FBgn0036749,ENSG00000069535,dmelanogaster,"['viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]']"
5,FBgn0035943,ENSG00000069535,dmelanogaster,"['viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]']"
6,FBgn0033584,ENSG00000069535,dmelanogaster,"['viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]']"
7,FBgn0286199,ENSG00000069535,dmelanogaster,"['male semi-fertile (with Df(3R)Exel6198)', 'male semi-fertile (with In(3R)Ubx[7LL]ats[R])', 'male sterile (with Df(3R)Exel6199)', 'male sterile (with Df(3R)P3-4-7)', 'male sterile (with Df(3R)crb-F89-4)', 'male sterile (with Df(3R)crb87-4)', 'male sterile (with Df(3R)crb87-5)', 'partially lethal - majority live | paternal effect', 'trichogen cell, with Scer\\GAL4[pnr-MD237]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]', 'male semi-fertile (with Df(3R)Exel6198)', 'male semi-fertile (with In(3R)Ubx[7LL]ats[R])', 'male sterile (with Df(3R)Exel6199)', 'male sterile (with Df(3R)P3-4-7)', 'male sterile (with Df(3R)crb-F89-4)', 'male sterile (with Df(3R)crb87-4)', 'male sterile (with Df(3R)crb87-5)', 'partially lethal - majority live | paternal effect', 'trichogen cell, with Scer\\GAL4[pnr-MD237]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]']"
8,FBgn0037606,ENSG00000069535,dmelanogaster,"['viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]']"
9,FBgn0002036,ENSG00000069535,dmelanogaster,"['viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'fertile', 'viable', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'fertile', 'viable', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'fertile', 'viable', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'fertile', 'viable']"
