orthologs: 595
totalgenes: 12
organism: slimemould
Enriched Phenotype	P-value	n	m	i	rank	q-value	Overlap Genes
 abolished slug migration 	0.0005134996009650063	29	1229	2	1	0.008333333333333333	DDB_G0282419,DDB_G0292270
 aberrant slug migration 	0.0011420939400751363	43	1215	2	2	0.016666666666666666	DDB_G0282419,DDB_G0292270
 aberrant culmination 	0.0017428631776568403	53	1205	2	3	0.025	DDB_G0282419,DDB_G0292270
 aberrant streaming 	0.004761886693642159	3	1255	1	4	0.03333333333333333	DDB_G0292270
 aberrant cAMP wave formation	0.005647230833262061	95	1163	2	5	0.04166666666666667	DDB_G0282419,DDB_G0292270
 multiple tips	0.014217362104491801	9	1249	1	6	0.05	DDB_G0292270
development arrests at mound stage 	0.018910950821697824	12	1246	1	7	0.05833333333333334	DDB_G0292270
 aberrant aggregation 	0.0313158869947558	20	1238	1	8	0.06666666666666667	DDB_G0282419
 aberrant vegetative growth 	0.03592600040734988	23	1235	1	9	0.07500000000000001	DDB_G0292270
aberrant aggregation 	0.05413879413625493	35	1223	1	10	0.08333333333333334	DDB_G0292270
 abolished culmination 	0.05713884599191033	37	1221	1	11	0.09166666666666667	DDB_G0292270
