Date: 2020.10.14
Anatomy ID	Anatomy Name	Start Stage ID	End Stage ID	
ZFA:0001327	abdominal musculature	ZDB-STAGE-010723-32	ZDB-STAGE-010723-39
ZFA:0000713	abducens motor nucleus	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000462	abductor hyohyoid	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005269	abductor muscle	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000614	abductor profundus	ZDB-STAGE-010723-47	ZDB-STAGE-010723-39
ZFA:0009129	absorptive cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0007077	accessory chamber of the maxillary blood sinus	ZDB-STAGE-010723-51	ZDB-STAGE-010723-39
ZFA:0000714	accessory pretectal nucleus	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000382	acellular anatomical structure	ZDB-STAGE-010723-4	ZDB-STAGE-010723-39
ZFA:0009095	acid secreting cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009277	acinar cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0005435	actinotrichium	ZDB-STAGE-010723-10	ZDB-STAGE-010723-39
ZFA:0000003	adaxial cell	ZDB-STAGE-010723-12	ZDB-STAGE-010723-10
ZFA:0000615	adductor arcus palatini	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000715	adductor hyohyoid	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0007053	adductor hyomandibulae	ZDB-STAGE-010723-26	ZDB-STAGE-010723-39
ZFA:0007049	adductor mandibulae	ZDB-STAGE-010723-31	ZDB-STAGE-010723-49
ZFA:0000311	adductor mandibulae complex	ZDB-STAGE-010723-51	ZDB-STAGE-010723-39
ZFA:0005268	adductor muscle	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0000465	adductor operculi	ZDB-STAGE-010723-26	ZDB-STAGE-010723-39
ZFA:0000616	adductor profundus	ZDB-STAGE-010723-47	ZDB-STAGE-010723-39
ZFA:0001198	adenohypophyseal placode	ZDB-STAGE-050211-1	ZDB-STAGE-010723-26
ZFA:0001282	adenohypophysis	ZDB-STAGE-010723-9	ZDB-STAGE-010723-39
ZFA:0005345	adipose tissue	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
ZFA:0009167	adrenal medulla cell	ZDB-STAGE-050211-1	ZDB-STAGE-010723-39
