1,2,Organism
FBgn0003513,ENSG00000063438,dmelanogaster
FBgn0001233,ENSG00000096384,dmelanogaster
FBgn0003513,ENSG00000106546,dmelanogaster
FBgn0030345,ENSG00000110711,dmelanogaster
FBgn0037728,ENSG00000110958,dmelanogaster
FBgn0264075,ENSG00000143437,dmelanogaster
FBgn0002723,ENSG00000143437,dmelanogaster
FBgn0261703,ENSG00000143437,dmelanogaster
FBgn0264075,ENSG00000172379,dmelanogaster
FBgn0023076,ENSG00000172379,dmelanogaster
FBgn0002723,ENSG00000172379,dmelanogaster
FBgn0261703,ENSG00000172379,dmelanogaster
DDB_G0267400,ENSG00000096384,slimemould
DDB_G0268042,ENSG00000110958,slimemould
Ahrr,ENSG00000063438,mouse
Hsp90ab1,ENSG00000096384,mouse
Ahr,ENSG00000106546,mouse
Aip,ENSG00000110711,mouse
Ptges3,ENSG00000110958,mouse
Arnt,ENSG00000143437,mouse
Arnt2,ENSG00000172379,mouse
,ENSG00000288622,mouse
ahrra,ENSG00000063438,zebrafish
ahrrb,ENSG00000063438,zebrafish
hsp90ab1,ENSG00000096384,zebrafish
ahr1a,ENSG00000106546,zebrafish
aip,ENSG00000110711,zebrafish
ptges3a,ENSG00000110958,zebrafish
ptges3b,ENSG00000110958,zebrafish
arnt,ENSG00000143437,zebrafish
arnt2,ENSG00000172379,zebrafish
,ENSG00000288622,zebrafish
WBGene00000096,ENSG00000063438,celegans
WBGene00000915,ENSG00000096384,celegans
WBGene00000096,ENSG00000106546,celegans
WBGene00016966,ENSG00000110711,celegans
WBGene00022599,ENSG00000110958,celegans
WBGene00000095,ENSG00000143437,celegans
WBGene00000095,ENSG00000172379,celegans
,ENSG00000288622,celegans
