MoleculeType	Identifier	MoleculeName	
Proteins	P36383	UniProt:P36383 GJC1	
Proteins	Q9UKL4	UniProt:Q9UKL4 GJD2	
Proteins	Q969M2	UniProt:Q969M2 GJA10	
Proteins	Q96RD7	UniProt:Q96RD7 PANX1	
Proteins	Q96RD6	UniProt:Q96RD6 PANX2	
Proteins	P78508	UniProt:P78508 KCNJ10	
Proteins	Q9NPI9	UniProt:Q9NPI9 KCNJ16	
Proteins	P48048	UniProt:P48048 KCNJ1	
Proteins	P48050	UniProt:P48050 KCNJ4	
Proteins	P63252	UniProt:P63252 KCNJ2	
Proteins	Q14500	UniProt:Q14500 KCNJ12	
Proteins	Q9UNX9	UniProt:Q9UNX9 KCNJ14	
Proteins	P48549	UniProt:P48549 KCNJ3	
Proteins	P48544	UniProt:P48544 KCNJ5	
Proteins	P48051	UniProt:P48051 KCNJ6	
Proteins	Q92806	UniProt:Q92806 KCNJ9	
Proteins	Q99712	UniProt:Q99712 KCNJ15	
Proteins	P62879	UniProt:P62879 GNB2	
Proteins	Q9HAV0	UniProt:Q9HAV0 GNB4	
Proteins	O14775	UniProt:O14775 GNB5	
Proteins	P16520	UniProt:P16520 GNB3	
Proteins	P62873	UniProt:P62873 GNB1	
Proteins	Q9UK08	UniProt:Q9UK08 GNG8	
Proteins	O14610	UniProt:O14610 GNGT2	
Proteins	P63211	UniProt:P63211 GNGT1	
Proteins	O60262	UniProt:O60262 GNG7	
Proteins	Q9P2W3	UniProt:Q9P2W3 GNG13	
Proteins	P63215	UniProt:P63215 GNG3	
Proteins	P50151	UniProt:P50151 GNG10	
Proteins	P61952	UniProt:P61952 GNG11	
Proteins	P50150	UniProt:P50150 GNG4	
Proteins	P63218	UniProt:P63218 GNG5	
Proteins	Q9UBI6	UniProt:Q9UBI6 GNG12	
Proteins	P59768	UniProt:P59768 GNG2	
Proteins	Q9UBS5	UniProt:Q9UBS5 GABBR1	
Proteins	O75899	UniProt:O75899 GABBR2	
Proteins	Q09428	UniProt:Q09428 ABCC8	
Proteins	Q15842	UniProt:Q15842 KCNJ8	
Proteins	Q14654	UniProt:Q14654 KCNJ11	
Proteins	O60706	UniProt:O60706 ABCC9	
Proteins	O15554	UniProt:O15554 KCNN4	
Proteins	Q92952	UniProt:Q92952 KCNN1	
Proteins	Q9H2S1	UniProt:Q9H2S1 KCNN2	
Proteins	Q9UGI6	UniProt:Q9UGI6 KCNN3	
Proteins	Q86W47	UniProt:Q86W47 KCNMB4	
Proteins	Q9NPA1	UniProt:Q9NPA1 KCNMB3	
Proteins	Q9Y691	UniProt:Q9Y691 KCNMB2	
Proteins	Q16558	UniProt:Q16558 KCNMB1	
Proteins	Q12791	UniProt:Q12791 KCNMA1	
Proteins	Q96T55	UniProt:Q96T55 KCNK16	
Proteins	Q96T54	UniProt:Q96T54 KCNK17	
Proteins	Q7Z418	UniProt:Q7Z418 KCNK18	
Proteins	Q9HB14	UniProt:Q9HB14 KCNK13	
Proteins	O14649	UniProt:O14649 KCNK3	
Proteins	Q9NPC2	UniProt:Q9NPC2 KCNK9	
Proteins	P57789	UniProt:P57789 KCNK10	
Proteins	Q9NYG8	UniProt:Q9NYG8 KCNK4	
Proteins	O95069	UniProt:O95069 KCNK2	
Proteins	Q9Y257	UniProt:Q9Y257 KCNK6	
Proteins	Q9Y2U2	UniProt:Q9Y2U2 KCNK7	
Proteins	O00180	UniProt:O00180 KCNK1	
Proteins	Q96L42	UniProt:Q96L42 KCNH8	
Proteins	Q9ULD8	UniProt:Q9ULD8 KCNH3	
Proteins	Q9UQ05	UniProt:Q9UQ05 KCNH4	
Proteins	Q92953	UniProt:Q92953 KCNB2	
Proteins	Q14721	UniProt:Q14721 KCNB1	
Proteins	Q12809	UniProt:Q12809 KCNH2	
Proteins	Q9NS40	UniProt:Q9NS40 KCNH7	
Proteins	Q9H252	UniProt:Q9H252 KCNH6	
Proteins	Q9H3M0	UniProt:Q9H3M0 KCNF1	
Proteins	Q9NSA2	UniProt:Q9NSA2 KCND1	
Proteins	Q9NZV8	UniProt:Q9NZV8 KCND2	
Proteins	Q9UK17	UniProt:Q9UK17 KCND3	
Proteins	P51787	UniProt:P51787 KCNQ1	
Proteins	Q9NR82	UniProt:Q9NR82 KCNQ5	
Proteins	P56696	UniProt:P56696 KCNQ4	
Proteins	O43525	UniProt:O43525 KCNQ3	
