,1,2,Organism,associated_phenotype
0,FBgn0040319,ENSG00000001084,dmelanogaster,"['fertile', 'viable', 'GO0030424:axon | third instar larval stage, with Scer\\GAL4[CCAP.PP]', 'abnormal neuroanatomy | third instar larval stage, with Scer\\GAL4[CCAP.PP]', 'adult thorax, with Scer\\GAL4[CCAP.PP]', 'adult thorax, with Scer\\GAL4[elav-C155]', 'decreased cell size | third instar larval stage, with Scer\\GAL4[CCAP.PP]', 'embryonic/larval brain | third instar larval stage, with Scer\\GAL4[CCAP.PP]', 'majority die during larval stage, with Scer\\GAL4[elav-C155]', 'partially lethal - majority die, with Scer\\GAL4[elav-C155]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]', 'visible, with Scer\\GAL4[CCAP.PP]', 'chemical resistant, with Scer\\GAL4[Appl.G1a]', 'chemical resistant, with Scer\\GAL4[Toll-6-D42]', 'long lived, with Scer\\GAL4[Appl.G1a]', 'long lived, with Scer\\GAL4[Toll-6-D42]', 'long lived, with Scer\\GAL4[elav-C155]']"
1,FBgn0052196,ENSG00000006625,dmelanogaster,
2,FBgn0036787,ENSG00000006625,dmelanogaster,
3,FBgn0053178,ENSG00000008394,dmelanogaster,"['viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]']"
4,FBgn0025814,ENSG00000008394,dmelanogaster,"['fertile', 'viable', 'short lived (with Df(1)16-3-22)', 'short lived (with Df(1)mal3)', 'arista, with Scer\\GAL4[29BD]', 'arista, with Scer\\GAL4[c355]', 'eye, with Scer\\GAL4[29BD]', 'eye, with Scer\\GAL4[c355]', 'eye, with Scer\\GAL4[hs.2sev]', 'macrochaeta, with Scer\\GAL4[29BD]', 'macrochaeta, with Scer\\GAL4[c355]', 'macrochaeta, with Scer\\GAL4[dpp.blk1]', 'partially lethal - majority die, with Scer\\GAL4[29BD]', 'partially lethal - majority die, with Scer\\GAL4[c355]', 'partially lethal - majority die, with Scer\\GAL4[dpp.blk1]', 'partially lethal - majority die, with Scer\\GAL4[hs.2sev]', 'scutellum, with Scer\\GAL4[29BD]', 'scutellum, with Scer\\GAL4[c355]', 'scutellum, with Scer\\GAL4[dpp.blk1]', 'tarsal segment, with Scer\\GAL4[29BD]', 'tarsal segment, with Scer\\GAL4[c355]', 'visible, with Scer\\GAL4[29BD]', 'visible, with Scer\\GAL4[c355]', 'visible, with Scer\\GAL4[hs.2sev]', 'wing, with Scer\\GAL4[29BD]', 'wing, with Scer\\GAL4[c355]']"
5,FBgn0053177,ENSG00000008394,dmelanogaster,
6,FBgn0046114,ENSG00000023909,dmelanogaster,"['fertile', 'viable', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'chemical sensitive', 'GO0031594:neuromuscular junction | third instar larval stage, with Scer\\GAL4[elav-C155]', 'abnormal neurophysiology | third instar larval stage, with Scer\\GAL4[elav-C155]', 'ventral longitudinal muscle | third instar larval stage, with Scer\\GAL4[elav-C155]']"
7,FBgn0035587,ENSG00000065621,dmelanogaster,"['GO0005739:mitochondrion, with Scer\\GAL4[GMR.PU]', 'GO0005739:mitochondrion, with Scer\\GAL4[Mhc.PU]', 'GO0016028:rhabdomere, with Scer\\GAL4[GMR.PU]', 'GO0097387:capitate projection, with Scer\\GAL4[GMR.PU]', 'abnormal neuroanatomy | adult stage | progressive, with Scer\\GAL4[GMR.PU]', 'eye photoreceptor cell | progressive, with Scer\\GAL4[GMR.PU]', 'indirect flight muscle, with Scer\\GAL4[Mhc.PU]', 'optic cartridge, with Scer\\GAL4[GMR.PU]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]', 'visible, with Scer\\GAL4[Mhc.PU]', 'wing, with Scer\\GAL4[Mhc.PU]', 'GO0005739:mitochondrion, with Scer\\GAL4[GMR.PU]', 'GO0005739:mitochondrion, with Scer\\GAL4[Mhc.PU]', 'GO0016028:rhabdomere, with Scer\\GAL4[GMR.PU]', 'GO0097387:capitate projection, with Scer\\GAL4[GMR.PU]', 'abnormal neuroanatomy | adult stage | progressive, with Scer\\GAL4[GMR.PU]', 'eye photoreceptor cell | progressive, with Scer\\GAL4[GMR.PU]', 'indirect flight muscle, with Scer\\GAL4[Mhc.PU]', 'optic cartridge, with Scer\\GAL4[GMR.PU]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]', 'visible, with Scer\\GAL4[Mhc.PU]', 'wing, with Scer\\GAL4[Mhc.PU]']"
8,FBgn0031117,ENSG00000065621,dmelanogaster,"['viable, with Scer\\GAL4[tin.CΔ4]', 'viable, with Scer\\GAL4[tin.CΔ4]', 'viable, with Scer\\GAL4[tin.CΔ4]']"
9,FBgn0050005,ENSG00000065621,dmelanogaster,"['abnormal pain response | adult stage, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]', 'abnormal pain response | adult stage, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]', 'abnormal pain response | adult stage, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Dcr-2[UAS.cDa], Scer\\GAL4[elav.PLu]', 'viable, with Scer\\GAL4[Mef2.PR]', 'viable, with Scer\\GAL4[pnr-MD237]', 'viable, with Scer\\GAL4[tin.CΔ4]']"
