1,2,Organism
FBgn0040319,ENSG00000001084,dmelanogaster
FBgn0052196,ENSG00000006625,dmelanogaster
FBgn0036787,ENSG00000006625,dmelanogaster
FBgn0053178,ENSG00000008394,dmelanogaster
FBgn0025814,ENSG00000008394,dmelanogaster
FBgn0053177,ENSG00000008394,dmelanogaster
FBgn0046114,ENSG00000023909,dmelanogaster
FBgn0035587,ENSG00000065621,dmelanogaster
FBgn0031117,ENSG00000065621,dmelanogaster
FBgn0050005,ENSG00000065621,dmelanogaster
FBgn0050000,ENSG00000065621,dmelanogaster
FBgn0086348,ENSG00000065621,dmelanogaster
FBgn0035904,ENSG00000065621,dmelanogaster
FBgn0035907,ENSG00000065621,dmelanogaster
FBgn0035906,ENSG00000065621,dmelanogaster
FBgn0010041,ENSG00000065621,dmelanogaster
FBgn0001149,ENSG00000065621,dmelanogaster
FBgn0010038,ENSG00000065621,dmelanogaster
FBgn0010044,ENSG00000065621,dmelanogaster
FBgn0042206,ENSG00000065621,dmelanogaster
FBgn0038020,ENSG00000065621,dmelanogaster
FBgn0010040,ENSG00000065621,dmelanogaster
FBgn0010042,ENSG00000065621,dmelanogaster
FBgn0010043,ENSG00000065621,dmelanogaster
FBgn0010039,ENSG00000065621,dmelanogaster
FBgn0063499,ENSG00000065621,dmelanogaster
FBgn0063492,ENSG00000065621,dmelanogaster
FBgn0063496,ENSG00000065621,dmelanogaster
FBgn0063497,ENSG00000065621,dmelanogaster
FBgn0063491,ENSG00000065621,dmelanogaster
FBgn0063498,ENSG00000065621,dmelanogaster
FBgn0033381,ENSG00000065621,dmelanogaster
FBgn0063493,ENSG00000065621,dmelanogaster
FBgn0063495,ENSG00000065621,dmelanogaster
FBgn0034335,ENSG00000065621,dmelanogaster
FBgn0063494,ENSG00000065621,dmelanogaster
FBgn0027590,ENSG00000065621,dmelanogaster
FBgn0034354,ENSG00000065621,dmelanogaster
FBgn0030529,ENSG00000065621,dmelanogaster
FBgn0265052,ENSG00000088002,dmelanogaster
FBgn0034887,ENSG00000088002,dmelanogaster
FBgn0033887,ENSG00000088002,dmelanogaster
FBgn0030796,ENSG00000099998,dmelanogaster
FBgn0030361,ENSG00000099998,dmelanogaster
FBgn0025837,ENSG00000099998,dmelanogaster
FBgn0030932,ENSG00000099998,dmelanogaster
FBgn0025837,ENSG00000100031,dmelanogaster
FBgn0030932,ENSG00000100031,dmelanogaster
FBgn0037696,ENSG00000100577,dmelanogaster
FBgn0037697,ENSG00000100577,dmelanogaster
FBgn0052495,ENSG00000100983,dmelanogaster
FBgn0030882,ENSG00000100983,dmelanogaster
FBgn0014455,ENSG00000101444,dmelanogaster
FBgn0036551,ENSG00000104331,dmelanogaster
FBgn0036552,ENSG00000104331,dmelanogaster
FBgn0036553,ENSG00000104331,dmelanogaster
FBgn0036550,ENSG00000104331,dmelanogaster
FBgn0265052,ENSG00000105398,dmelanogaster
FBgn0034887,ENSG00000105398,dmelanogaster
FBgn0033887,ENSG00000105398,dmelanogaster
FBgn0032713,ENSG00000109181,dmelanogaster
FBgn0027070,ENSG00000109181,dmelanogaster
FBgn0027074,ENSG00000109181,dmelanogaster
FBgn0015663,ENSG00000109181,dmelanogaster
FBgn0040255,ENSG00000109181,dmelanogaster
FBgn0040253,ENSG00000109181,dmelanogaster
FBgn0051002,ENSG00000109181,dmelanogaster
FBgn0026314,ENSG00000109181,dmelanogaster
FBgn0026315,ENSG00000109181,dmelanogaster
FBgn0039086,ENSG00000109181,dmelanogaster
FBgn0039087,ENSG00000109181,dmelanogaster
FBgn0039085,ENSG00000109181,dmelanogaster
FBgn0040252,ENSG00000109181,dmelanogaster
FBgn0040250,ENSG00000109181,dmelanogaster
FBgn0040259,ENSG00000109181,dmelanogaster
FBgn0040257,ENSG00000109181,dmelanogaster
FBgn0040251,ENSG00000109181,dmelanogaster
FBgn0036842,ENSG00000109181,dmelanogaster
FBgn0040262,ENSG00000109181,dmelanogaster
FBgn0026754,ENSG00000109181,dmelanogaster
FBgn0040261,ENSG00000109181,dmelanogaster
FBgn0038082,ENSG00000109181,dmelanogaster
FBgn0038083,ENSG00000109181,dmelanogaster
FBgn0026756,ENSG00000109181,dmelanogaster
FBgn0026755,ENSG00000109181,dmelanogaster
FBgn0040260,ENSG00000109181,dmelanogaster
FBgn0031887,ENSG00000109181,dmelanogaster
FBgn0042179,ENSG00000109181,dmelanogaster
FBgn0038886,ENSG00000109181,dmelanogaster
FBgn0034605,ENSG00000109181,dmelanogaster
FBgn0027073,ENSG00000109181,dmelanogaster
FBgn0265052,ENSG00000109193,dmelanogaster
FBgn0034887,ENSG00000109193,dmelanogaster
FBgn0033887,ENSG00000109193,dmelanogaster
FBgn0261445,ENSG00000109814,dmelanogaster
FBgn0026570,ENSG00000114779,dmelanogaster
FBgn0035312,ENSG00000114779,dmelanogaster
FBgn0035309,ENSG00000114779,dmelanogaster
FBgn0026593,ENSG00000114779,dmelanogaster
FBgn0037070,ENSG00000114779,dmelanogaster
FBgn0037071,ENSG00000114779,dmelanogaster
FBgn0038429,ENSG00000124275,dmelanogaster
FBgn0036695,ENSG00000124786,dmelanogaster
FBgn0086674,ENSG00000128294,dmelanogaster
FBgn0039109,ENSG00000128965,dmelanogaster
FBgn0265052,ENSG00000130540,dmelanogaster
FBgn0034887,ENSG00000130540,dmelanogaster
FBgn0033887,ENSG00000130540,dmelanogaster
FBgn0025837,ENSG00000131067,dmelanogaster
FBgn0030932,ENSG00000131067,dmelanogaster
FBgn0259979,ENSG00000133313,dmelanogaster
FBgn0035587,ENSG00000133433,dmelanogaster
FBgn0031117,ENSG00000133433,dmelanogaster
FBgn0050005,ENSG00000133433,dmelanogaster
FBgn0050000,ENSG00000133433,dmelanogaster
FBgn0086348,ENSG00000133433,dmelanogaster
FBgn0035904,ENSG00000133433,dmelanogaster
FBgn0035907,ENSG00000133433,dmelanogaster
FBgn0035906,ENSG00000133433,dmelanogaster
FBgn0010041,ENSG00000133433,dmelanogaster
FBgn0001149,ENSG00000133433,dmelanogaster
FBgn0010038,ENSG00000133433,dmelanogaster
FBgn0010044,ENSG00000133433,dmelanogaster
FBgn0042206,ENSG00000133433,dmelanogaster
FBgn0038020,ENSG00000133433,dmelanogaster
FBgn0010040,ENSG00000133433,dmelanogaster
FBgn0010042,ENSG00000133433,dmelanogaster
FBgn0010043,ENSG00000133433,dmelanogaster
FBgn0010039,ENSG00000133433,dmelanogaster
FBgn0063499,ENSG00000133433,dmelanogaster
FBgn0063492,ENSG00000133433,dmelanogaster
FBgn0063496,ENSG00000133433,dmelanogaster
FBgn0063497,ENSG00000133433,dmelanogaster
FBgn0063491,ENSG00000133433,dmelanogaster
FBgn0063498,ENSG00000133433,dmelanogaster
FBgn0033381,ENSG00000133433,dmelanogaster
FBgn0063493,ENSG00000133433,dmelanogaster
FBgn0063495,ENSG00000133433,dmelanogaster
FBgn0034335,ENSG00000133433,dmelanogaster
FBgn0063494,ENSG00000133433,dmelanogaster
FBgn0027590,ENSG00000133433,dmelanogaster
FBgn0034354,ENSG00000133433,dmelanogaster
FBgn0030529,ENSG00000133433,dmelanogaster
FBgn0032713,ENSG00000135220,dmelanogaster
FBgn0027070,ENSG00000135220,dmelanogaster
FBgn0027074,ENSG00000135220,dmelanogaster
FBgn0015663,ENSG00000135220,dmelanogaster
FBgn0040255,ENSG00000135220,dmelanogaster
FBgn0040253,ENSG00000135220,dmelanogaster
FBgn0051002,ENSG00000135220,dmelanogaster
FBgn0026314,ENSG00000135220,dmelanogaster
FBgn0026315,ENSG00000135220,dmelanogaster
FBgn0039086,ENSG00000135220,dmelanogaster
FBgn0039087,ENSG00000135220,dmelanogaster
FBgn0039085,ENSG00000135220,dmelanogaster
FBgn0040252,ENSG00000135220,dmelanogaster
FBgn0040250,ENSG00000135220,dmelanogaster
FBgn0040259,ENSG00000135220,dmelanogaster
FBgn0040257,ENSG00000135220,dmelanogaster
FBgn0040251,ENSG00000135220,dmelanogaster
FBgn0036842,ENSG00000135220,dmelanogaster
FBgn0040262,ENSG00000135220,dmelanogaster
FBgn0026754,ENSG00000135220,dmelanogaster
FBgn0040261,ENSG00000135220,dmelanogaster
FBgn0038082,ENSG00000135220,dmelanogaster
FBgn0038083,ENSG00000135220,dmelanogaster
FBgn0026756,ENSG00000135220,dmelanogaster
FBgn0026755,ENSG00000135220,dmelanogaster
FBgn0040260,ENSG00000135220,dmelanogaster
FBgn0031887,ENSG00000135220,dmelanogaster
FBgn0042179,ENSG00000135220,dmelanogaster
FBgn0038886,ENSG00000135220,dmelanogaster
FBgn0034605,ENSG00000135220,dmelanogaster
FBgn0027073,ENSG00000135220,dmelanogaster
FBgn0032713,ENSG00000135226,dmelanogaster
FBgn0027070,ENSG00000135226,dmelanogaster
FBgn0027074,ENSG00000135226,dmelanogaster
FBgn0015663,ENSG00000135226,dmelanogaster
FBgn0040255,ENSG00000135226,dmelanogaster
FBgn0040253,ENSG00000135226,dmelanogaster
FBgn0051002,ENSG00000135226,dmelanogaster
FBgn0026314,ENSG00000135226,dmelanogaster
FBgn0026315,ENSG00000135226,dmelanogaster
FBgn0039086,ENSG00000135226,dmelanogaster
FBgn0039087,ENSG00000135226,dmelanogaster
FBgn0039085,ENSG00000135226,dmelanogaster
FBgn0040252,ENSG00000135226,dmelanogaster
FBgn0040250,ENSG00000135226,dmelanogaster
FBgn0040259,ENSG00000135226,dmelanogaster
FBgn0040257,ENSG00000135226,dmelanogaster
FBgn0040251,ENSG00000135226,dmelanogaster
FBgn0036842,ENSG00000135226,dmelanogaster
FBgn0040262,ENSG00000135226,dmelanogaster
FBgn0026754,ENSG00000135226,dmelanogaster
FBgn0040261,ENSG00000135226,dmelanogaster
FBgn0038082,ENSG00000135226,dmelanogaster
FBgn0038083,ENSG00000135226,dmelanogaster
FBgn0026756,ENSG00000135226,dmelanogaster
FBgn0026755,ENSG00000135226,dmelanogaster
FBgn0040260,ENSG00000135226,dmelanogaster
FBgn0031887,ENSG00000135226,dmelanogaster
FBgn0042179,ENSG00000135226,dmelanogaster
FBgn0038886,ENSG00000135226,dmelanogaster
FBgn0034605,ENSG00000135226,dmelanogaster
FBgn0027073,ENSG00000135226,dmelanogaster
FBgn0265052,ENSG00000138068,dmelanogaster
FBgn0034887,ENSG00000138068,dmelanogaster
FBgn0033887,ENSG00000138068,dmelanogaster
FBgn0020389,ENSG00000138801,dmelanogaster
FBgn0038771,ENSG00000139684,dmelanogaster
FBgn0030411,ENSG00000143942,dmelanogaster
FBgn0036770,ENSG00000145217,dmelanogaster
FBgn0032713,ENSG00000145626,dmelanogaster
FBgn0027070,ENSG00000145626,dmelanogaster
FBgn0027074,ENSG00000145626,dmelanogaster
FBgn0015663,ENSG00000145626,dmelanogaster
FBgn0040255,ENSG00000145626,dmelanogaster
FBgn0040253,ENSG00000145626,dmelanogaster
FBgn0051002,ENSG00000145626,dmelanogaster
FBgn0026314,ENSG00000145626,dmelanogaster
FBgn0026315,ENSG00000145626,dmelanogaster
FBgn0039086,ENSG00000145626,dmelanogaster
FBgn0039087,ENSG00000145626,dmelanogaster
FBgn0039085,ENSG00000145626,dmelanogaster
FBgn0040252,ENSG00000145626,dmelanogaster
FBgn0040250,ENSG00000145626,dmelanogaster
FBgn0040259,ENSG00000145626,dmelanogaster
FBgn0040257,ENSG00000145626,dmelanogaster
FBgn0040251,ENSG00000145626,dmelanogaster
FBgn0036842,ENSG00000145626,dmelanogaster
FBgn0040262,ENSG00000145626,dmelanogaster
FBgn0026754,ENSG00000145626,dmelanogaster
FBgn0040261,ENSG00000145626,dmelanogaster
FBgn0038082,ENSG00000145626,dmelanogaster
FBgn0038083,ENSG00000145626,dmelanogaster
FBgn0026756,ENSG00000145626,dmelanogaster
FBgn0026755,ENSG00000145626,dmelanogaster
FBgn0040260,ENSG00000145626,dmelanogaster
FBgn0031887,ENSG00000145626,dmelanogaster
FBgn0042179,ENSG00000145626,dmelanogaster
FBgn0038886,ENSG00000145626,dmelanogaster
FBgn0034605,ENSG00000145626,dmelanogaster
FBgn0027073,ENSG00000145626,dmelanogaster
FBgn0031117,ENSG00000148834,dmelanogaster
FBgn0050005,ENSG00000148834,dmelanogaster
FBgn0050000,ENSG00000148834,dmelanogaster
FBgn0010041,ENSG00000148834,dmelanogaster
FBgn0001149,ENSG00000148834,dmelanogaster
FBgn0010038,ENSG00000148834,dmelanogaster
FBgn0010044,ENSG00000148834,dmelanogaster
FBgn0042206,ENSG00000148834,dmelanogaster
FBgn0038020,ENSG00000148834,dmelanogaster
FBgn0010040,ENSG00000148834,dmelanogaster
FBgn0010042,ENSG00000148834,dmelanogaster
FBgn0010043,ENSG00000148834,dmelanogaster
FBgn0010039,ENSG00000148834,dmelanogaster
FBgn0063499,ENSG00000148834,dmelanogaster
FBgn0063492,ENSG00000148834,dmelanogaster
FBgn0063496,ENSG00000148834,dmelanogaster
FBgn0063497,ENSG00000148834,dmelanogaster
FBgn0063491,ENSG00000148834,dmelanogaster
FBgn0063498,ENSG00000148834,dmelanogaster
FBgn0033381,ENSG00000148834,dmelanogaster
FBgn0063493,ENSG00000148834,dmelanogaster
FBgn0063495,ENSG00000148834,dmelanogaster
FBgn0034335,ENSG00000148834,dmelanogaster
FBgn0063494,ENSG00000148834,dmelanogaster
FBgn0027590,ENSG00000148834,dmelanogaster
FBgn0034354,ENSG00000148834,dmelanogaster
FBgn0030529,ENSG00000148834,dmelanogaster
FBgn0005278,ENSG00000151224,dmelanogaster
FBgn0036770,ENSG00000155850,dmelanogaster
FBgn0032713,ENSG00000156096,dmelanogaster
FBgn0027070,ENSG00000156096,dmelanogaster
FBgn0027074,ENSG00000156096,dmelanogaster
FBgn0015663,ENSG00000156096,dmelanogaster
FBgn0040255,ENSG00000156096,dmelanogaster
FBgn0040253,ENSG00000156096,dmelanogaster
FBgn0051002,ENSG00000156096,dmelanogaster
FBgn0026314,ENSG00000156096,dmelanogaster
FBgn0026315,ENSG00000156096,dmelanogaster
FBgn0039086,ENSG00000156096,dmelanogaster
FBgn0039087,ENSG00000156096,dmelanogaster
FBgn0039085,ENSG00000156096,dmelanogaster
FBgn0040252,ENSG00000156096,dmelanogaster
FBgn0040250,ENSG00000156096,dmelanogaster
FBgn0040259,ENSG00000156096,dmelanogaster
FBgn0040257,ENSG00000156096,dmelanogaster
FBgn0040251,ENSG00000156096,dmelanogaster
FBgn0036842,ENSG00000156096,dmelanogaster
FBgn0040262,ENSG00000156096,dmelanogaster
FBgn0026754,ENSG00000156096,dmelanogaster
FBgn0040261,ENSG00000156096,dmelanogaster
FBgn0038082,ENSG00000156096,dmelanogaster
FBgn0038083,ENSG00000156096,dmelanogaster
FBgn0026756,ENSG00000156096,dmelanogaster
FBgn0026755,ENSG00000156096,dmelanogaster
FBgn0040260,ENSG00000156096,dmelanogaster
FBgn0031887,ENSG00000156096,dmelanogaster
FBgn0042179,ENSG00000156096,dmelanogaster
FBgn0038886,ENSG00000156096,dmelanogaster
FBgn0034605,ENSG00000156096,dmelanogaster
FBgn0027073,ENSG00000156096,dmelanogaster
FBgn0031454,ENSG00000156239,dmelanogaster
FBgn0038524,ENSG00000157593,dmelanogaster
FBgn0039698,ENSG00000162813,dmelanogaster
FBgn0010226,ENSG00000163106,dmelanogaster
FBgn0032713,ENSG00000167165,dmelanogaster
FBgn0027070,ENSG00000167165,dmelanogaster
FBgn0027074,ENSG00000167165,dmelanogaster
FBgn0015663,ENSG00000167165,dmelanogaster
FBgn0040255,ENSG00000167165,dmelanogaster
FBgn0040253,ENSG00000167165,dmelanogaster
FBgn0051002,ENSG00000167165,dmelanogaster
FBgn0026314,ENSG00000167165,dmelanogaster
FBgn0026315,ENSG00000167165,dmelanogaster
